Sequence Name	GI	Percent Identity	Length	e-value	Query Start	Query End	Subject Start	Subject End	Gaps	Score	Bits
Locus_213_Transcript_1/2_Confidence_0.667_Length_396	gi|32130540|psbO	97.25	182	2	3	1	179	926	1107	4e-86	 305
Locus_213_Transcript_2/2_Confidence_0.667_Length_396	gi|32130540|psbO	97.80	182	1	3	1	179	926	1107	9e-88	 311
Locus_322_Transcript_1/2_Confidence_0.667_Length_157	gi|32130540|psbO	96.18	157	6	0	1	157	544	388	5e-72	 257
Locus_322_Transcript_2/2_Confidence_0.833_Length_648	gi|32130540|psbO	97.09	550	9	5	1	549	544	1	0.0	 920
Locus_468_Transcript_1/5_Confidence_0.350_Length_1004	gi|14456617|Na-ATPase	96.51	1004	35	0	1	1004	2777	1774	0.0	1661
Locus_468_Transcript_2/5_Confidence_0.750_Length_1767	gi|14456617|Na-ATPase	98.36	1767	29	0	1	1767	2777	1011	0.0	3103
Locus_468_Transcript_3/5_Confidence_0.750_Length_1767	gi|14456617|Na-ATPase	96.33	1769	61	4	1	1767	2777	1011	0.0	2904
Locus_468_Transcript_4/5_Confidence_0.800_Length_2628	gi|14456617|Na-ATPase	94.58	2250	112	10	384	2628	3255	1011	0.0	3470
Locus_468_Transcript_4/5_Confidence_0.800_Length_2628	gi|14456617|Na-ATPase	83.22	149	15	8	1	141	3632	3486	7e-32	 128
Locus_468_Transcript_5/5_Confidence_0.750_Length_1767	gi|14456617|Na-ATPase	98.92	1767	19	0	1	1767	2777	1011	0.0	3158
Locus_1087_Transcript_1/5_Confidence_0.500_Length_142	gi|32130540|psbO	86.99	146	9	9	1	142	859	720	9e-44	 163
Locus_1087_Transcript_2/5_Confidence_0.429_Length_124	gi|32130540|psbO	89.68	126	5	7	1	124	859	740	5e-41	 154
Locus_1087_Transcript_3/5_Confidence_0.643_Length_142	gi|32130540|psbO	92.59	135	5	5	1	134	859	729	2e-51	 189
Locus_1087_Transcript_4/5_Confidence_0.571_Length_144	gi|32130540|psbO	91.10	146	5	7	1	144	859	720	4e-52	 191
Locus_1087_Transcript_5/5_Confidence_0.643_Length_143	gi|32130540|psbO	90.51	137	5	7	1	135	859	729	4e-47	 174
Locus_1689_Transcript_1/2_Confidence_0.750_Length_238	gi|14456617|Na-ATPase	98.74	238	3	0	1	238	975	738	7e-122	 424
Locus_1689_Transcript_2/2_Confidence_0.750_Length_469	gi|14456617|Na-ATPase	99.53	213	1	0	1	213	975	763	5e-111	 388
Locus_1748_Transcript_1/2_Confidence_0.800_Length_286	gi|14456617|Na-ATPase	99.65	286	1	0	1	286	3009	2724	8e-152	 523
Locus_1748_Transcript_2/2_Confidence_0.800_Length_288	gi|14456617|Na-ATPase	99.62	262	1	0	1	262	3009	2748	2e-138	 479
Locus_2783_Transcript_1/3_Confidence_0.667_Length_477	gi|14456617|Na-ATPase	98.81	253	1	2	1	252	340	89	2e-129	 449
Locus_2783_Transcript_2/3_Confidence_0.667_Length_1236	gi|14456617|Na-ATPase	98.73	316	2	2	755	1069	315	1	3e-162	 560
Locus_2783_Transcript_2/3_Confidence_0.667_Length_1236	gi|14456617|Na-ATPase	100.00	30	0	0	1	30	340	311	2e-10	56.5
Locus_2783_Transcript_3/3_Confidence_0.667_Length_507	gi|14456617|Na-ATPase	98.83	341	2	2	1	340	340	1	1e-176	 606
Locus_3171_Transcript_1/2_Confidence_0.750_Length_160	gi|14456617|Na-ATPase	98.61	72	1	0	89	160	3993	3922	4e-33	 128
Locus_3171_Transcript_2/2_Confidence_0.500_Length_625	gi|14456617|Na-ATPase	97.92	48	1	0	89	136	3993	3946	3e-19	84.2
Locus_3567_Transcript_1/2_Confidence_0.833_Length_479	gi|14456617|Na-ATPase	99.45	183	1	0	297	479	496	314	2e-94	 333
Locus_3567_Transcript_2/2_Confidence_0.667_Length_210	gi|14456617|Na-ATPase	99.51	205	1	0	6	210	518	314	6e-107	 374
Locus_4224_Transcript_1/4_Confidence_0.571_Length_509	gi|355398356|NR2-2/2HbN	93.12	509	35	0	1	509	611	103	0.0	 747
Locus_4224_Transcript_1/4_Confidence_0.571_Length_509	gi|240129575|NR1	93.12	509	35	0	1	509	647	139	0.0	 747
Locus_4224_Transcript_2/4_Confidence_0.571_Length_429	gi|355398356|NR2-2/2HbN	95.10	429	21	0	1	429	611	183	0.0	 676
Locus_4224_Transcript_2/4_Confidence_0.571_Length_429	gi|240129575|NR1	95.10	429	21	0	1	429	647	219	0.0	 676
Locus_4224_Transcript_3/4_Confidence_0.643_Length_641	gi|240129575|NR1	98.86	612	7	0	1	612	647	36	0.0	1092
Locus_4224_Transcript_3/4_Confidence_0.643_Length_641	gi|355398356|NR2-2/2HbN	98.85	611	7	0	1	611	611	1	0.0	1090
Locus_4224_Transcript_4/4_Confidence_0.643_Length_641	gi|240129575|NR1	96.90	612	19	0	1	612	647	36	0.0	1026
Locus_4224_Transcript_4/4_Confidence_0.643_Length_641	gi|355398356|NR2-2/2HbN	96.89	611	19	0	1	611	611	1	0.0	1024
Locus_4952_Transcript_1/2_Confidence_0.857_Length_2841	gi|14456617|Na-ATPase	97.30	37	1	0	1183	1219	1089	1053	2e-12	63.9
Locus_4952_Transcript_2/2_Confidence_0.857_Length_2791	gi|14456617|Na-ATPase	97.30	37	1	0	1133	1169	1089	1053	2e-12	63.9
Locus_5716_Transcript_1/3_Confidence_0.750_Length_424	gi|14456617|Na-ATPase	99.33	299	2	0	126	424	494	792	3e-157	 542
Locus_5716_Transcript_2/3_Confidence_0.625_Length_630	gi|14456617|Na-ATPase	98.81	168	2	0	463	630	625	792	3e-84	 300
Locus_5716_Transcript_2/3_Confidence_0.625_Length_630	gi|14456617|Na-ATPase	98.74	159	2	0	1	159	467	625	3e-79	 283
Locus_5716_Transcript_3/3_Confidence_0.625_Length_326	gi|14456617|Na-ATPase	98.77	326	4	0	1	326	467	792	5e-169	 580
Locus_7435_Transcript_1/1_Confidence_1.000_Length_1343	gi|603053|psbA	99.84	1240	2	0	104	1343	1258	19	0.0	2279
Locus_9898_Transcript_2/11_Confidence_0.533_Length_2276	gi|355398356|NR2-2/2HbN	93.92	2220	125	6	62	2276	2796	582	0.0	3343
Locus_9898_Transcript_2/11_Confidence_0.533_Length_2276	gi|240129575|NR1	94.62	1022	47	4	1259	2276	1635	618	0.0	1576
Locus_9898_Transcript_2/11_Confidence_0.533_Length_2276	gi|240129575|NR1	91.53	886	73	2	62	946	2511	1627	0.0	1219
Locus_9898_Transcript_3/11_Confidence_0.267_Length_1125	gi|355398356|NR2-2/2HbN	92.97	1123	77	2	4	1125	2777	1656	0.0	1635
Locus_9898_Transcript_3/11_Confidence_0.267_Length_1125	gi|240129575|NR1	91.81	867	69	2	4	869	2492	1627	0.0	1206
Locus_9898_Transcript_4/11_Confidence_0.300_Length_1106	gi|355398356|NR2-2/2HbN	93.42	1110	62	6	1	1106	1684	582	0.0	1635
Locus_9898_Transcript_4/11_Confidence_0.300_Length_1106	gi|240129575|NR1	94.52	1021	48	4	90	1106	1634	618	0.0	1568
Locus_9898_Transcript_5/11_Confidence_0.533_Length_2199	gi|355398356|NR2-2/2HbN	93.78	2201	127	6	4	2199	2777	582	0.0	3297
Locus_9898_Transcript_5/11_Confidence_0.533_Length_2199	gi|240129575|NR1	94.03	1022	53	4	1182	2199	1635	618	0.0	1543
Locus_9898_Transcript_5/11_Confidence_0.533_Length_2199	gi|240129575|NR1	91.81	867	69	2	4	869	2492	1627	0.0	1206
Locus_9898_Transcript_6/11_Confidence_0.533_Length_2202	gi|355398356|NR2-2/2HbN	94.91	2200	107	4	4	2202	2777	582	0.0	3437
Locus_9898_Transcript_6/11_Confidence_0.533_Length_2202	gi|240129575|NR1	96.47	1021	33	2	1182	2202	1635	618	0.0	1683
Locus_9898_Transcript_6/11_Confidence_0.533_Length_2202	gi|240129575|NR1	91.81	867	69	2	4	869	2492	1627	0.0	1206
Locus_9898_Transcript_7/11_Confidence_0.267_Length_1103	gi|355398356|NR2-2/2HbN	93.95	1107	59	4	1	1103	1684	582	0.0	1666
Locus_9898_Transcript_7/11_Confidence_0.267_Length_1103	gi|240129575|NR1	94.71	1021	46	4	87	1103	1634	618	0.0	1580
Locus_9898_Transcript_8/11_Confidence_0.500_Length_2273	gi|355398356|NR2-2/2HbN	94.95	2257	104	6	22	2273	2833	582	0.0	3528
Locus_9898_Transcript_8/11_Confidence_0.500_Length_2273	gi|240129575|NR1	94.62	1022	47	4	1256	2273	1635	618	0.0	1576
Locus_9898_Transcript_8/11_Confidence_0.500_Length_2273	gi|240129575|NR1	94.15	923	52	2	22	943	2548	1627	0.0	1404
Locus_9898_Transcript_9/11_Confidence_0.500_Length_2199	gi|355398356|NR2-2/2HbN	96.00	2200	80	4	4	2199	2777	582	0.0	3568
Locus_9898_Transcript_9/11_Confidence_0.500_Length_2199	gi|240129575|NR1	94.62	1022	47	4	1182	2199	1635	618	0.0	1576
Locus_9898_Transcript_9/11_Confidence_0.500_Length_2199	gi|240129575|NR1	96.77	866	28	0	4	869	2492	1627	0.0	1445
Locus_9898_Transcript_10/11_Confidence_0.467_Length_2199	gi|355398356|NR2-2/2HbN	94.78	2201	105	6	4	2199	2777	582	0.0	3419
Locus_9898_Transcript_10/11_Confidence_0.467_Length_2199	gi|240129575|NR1	96.18	1022	31	4	1182	2199	1635	618	0.0	1664
Locus_9898_Transcript_10/11_Confidence_0.467_Length_2199	gi|240129575|NR1	91.81	867	69	2	4	869	2492	1627	0.0	1206
Locus_9898_Transcript_11/11_Confidence_0.533_Length_2199	gi|355398356|NR2-2/2HbN	94.05	2201	121	6	4	2199	2777	582	0.0	3330
Locus_9898_Transcript_11/11_Confidence_0.533_Length_2199	gi|240129575|NR1	94.62	1022	47	4	1182	2199	1635	618	0.0	1576
Locus_9898_Transcript_11/11_Confidence_0.533_Length_2199	gi|240129575|NR1	91.81	867	69	2	4	869	2492	1627	0.0	1206
Locus_16470_Transcript_1/1_Confidence_1.000_Length_730	gi|14456617|Na-ATPase	81.30	230	39	4	503	730	1238	1011	4e-49	 183
Locus_16470_Transcript_1/1_Confidence_1.000_Length_730	gi|14456617|Na-ATPase	100.00	31	0	0	1	31	1563	1533	2e-11	58.4
Locus_17055_Transcript_1/1_Confidence_1.000_Length_1137	gi|14456617|Na-ATPase	74.28	832	195	17	1	823	1023	202	6e-94	 333
Locus_26992_Transcript_1/1_Confidence_1.000_Length_243	gi|14456617|Na-ATPase	76.49	251	43	15	1	243	1791	1549	3e-31	 122
Locus_42451_Transcript_1/1_Confidence_1.000_Length_496	gi|14456617|Na-ATPase	97.14	35	1	0	1	35	2220	2186	5e-12	60.2
Locus_70300_Transcript_1/1_Confidence_1.000_Length_172	gi|14456617|Na-ATPase	100.00	76	0	0	97	172	948	1023	5e-37	 141
Locus_83665_Transcript_1/1_Confidence_1.000_Length_209	gi|240129575|NR1	99.33	150	1	0	1	150	150	1	2e-76	 272
Locus_83665_Transcript_1/1_Confidence_1.000_Length_209	gi|355398356|NR2-2/2HbN	99.12	114	1	0	1	114	114	1	2e-56	 206
Locus_108452_Transcript_1/1_Confidence_1.000_Length_177	gi|14456617|Na-ATPase	100.00	30	0	0	1	30	174	145	2e-11	56.5
Locus_127315_Transcript_1/1_Confidence_1.000_Length_178	gi|355398356|NR2-2/2HbN	93.86	114	7	0	1	114	114	1	2e-46	 172
Locus_127315_Transcript_1/1_Confidence_1.000_Length_178	gi|240129575|NR1	93.86	114	7	0	1	114	150	37	2e-46	 172
File: Oases_knorm_cap3.txt 
Contig9	gi|146739105|prk	99.31	1160	5	2	449	1607	1220	63	0.0	2095
Contig42	gi|32130540|psbO	97.66	256	5	1	1	256	769	515	3e-126	 438
Contig157	gi|14456617|Na-ATPase	98.46	779	12	0	26	804	3215	3993	0.0	1373
Contig157	gi|14456617|Na-ATPase	100.00	30	0	0	1	30	3277	3306	1e-10	56.5
Contig158	gi|14456617|Na-ATPase	96.20	368	14	0	1	368	3603	3970	1e-175	 603
Contig159	gi|14456617|Na-ATPase	97.93	1014	21	0	1	1014	2980	3993	0.0	1757
Contig169	gi|32130540|psbO	97.80	182	1	3	1	179	926	1107	9e-88	 311
Contig249	gi|32130540|psbO	97.09	550	9	5	1	549	544	1	0.0	 920
Contig362	gi|14456617|Na-ATPase	94.67	2250	110	10	384	2628	3255	1011	0.0	3482
Contig362	gi|14456617|Na-ATPase	83.22	149	15	8	1	141	3632	3486	7e-32	 128
Contig1313	gi|14456617|Na-ATPase	99.65	286	1	0	1	286	3009	2724	8e-152	 523
Contig1999	gi|14456617|Na-ATPase	98.83	341	2	2	1	340	340	1	1e-176	 606
Contig2247	gi|14456617|Na-ATPase	97.92	48	1	0	89	136	3993	3946	3e-19	84.2
Contig2943	gi|240129575|NR1	96.90	612	19	0	1	612	647	36	0.0	1026
Contig2943	gi|355398356|NR2-2/2HbN	96.89	611	19	0	1	611	611	1	0.0	1024
Contig3402	gi|14456617|Na-ATPase	97.30	37	1	0	1183	1219	1089	1053	2e-12	63.9
Contig3844	gi|14456617|Na-ATPase	99.38	482	3	0	126	607	494	975	0.0	 874
File: Oases_knorm_cleaned.txt 
File: Oases_knorm_cleaned_rsem.txt 
File: Oases_knorm_cluster.txt 
Locus_13_Transcript_1/1_Confidence_1.000_Length_1607	gi|146739105|prk	99.31	1160	5	2	449	1607	1220	63	0.0	2095
File: Oases_knorm_cluster_cleaned.txt 
File: Oases_knorm_cluster_cleaned_rsem.txt 
File: Oases_knorm_cluster_rsem.txt 
File: Oases_knorm_rsem.txt 
File: SOAP_combined_cap3.txt 
File: SOAP_knorm_combined_cap3.txt 
File: SOAP_knorm_k35.txt 
File: SOAP_knorm_k35_cleaned.txt 
File: SOAP_knorm_k35_cleaned_rsem.txt 
File: SOAP_knorm_k35_cluster.txt 
File: SOAP_knorm_k35_cluster_cleaned.txt 
File: SOAP_knorm_k35_cluster_cleaned_rsem.txt 
File: SOAP_knorm_k35_cluster_rsem.txt 
File: SOAP_knorm_k35_rsem.txt 
File: SOAP_norm.txt 
File: SOAP_norm_cleaned.txt 
File: SOAP_norm_cleaned_rsem.txt 
File: SOAP_norm_cluster.txt 
File: SOAP_norm_cluster_cleaned.txt 
File: SOAP_norm_cluster_cleaned_rsem.txt 
File: SOAP_norm_cluster_rsem.txt 
File: SOAP_norm_combined_cap3.txt 
File: SOAP_norm_rsem.txt 
File: TransABySS_combined_cap3.txt 
File: TransABySS_knorm.txt 
File: TransABySS_knorm_cleaned.txt 
File: TransABySS_knorm_cleaned_rsem.txt 
File: TransABySS_knorm_cluster.txt 
File: TransABySS_knorm_cluster_cleaned.txt 
File: TransABySS_knorm_cluster_cleaned_rsem.txt 
File: TransABySS_knorm_cluster_rsem.txt 
File: TransABySS_knorm_combined_cap3.txt 
File: TransABySS_knorm_rsem.txt 
File: TransABySS_norm.txt 
File: TransABySS_norm_cleaned.txt 
File: TransABySS_norm_cleaned_rsem.txt 
File: TransABySS_norm_cluster.txt 
File: TransABySS_norm_cluster_cleaned.txt 
File: TransABySS_norm_cluster_cleaned_rsem.txt 
File: TransABySS_norm_cluster_rsem.txt 
File: TransABySS_norm_combined_cap3.txt 
File: TransABySS_norm_rsem.txt 
File: Trinity.txt 
File: Trinity_cluster.txt 
File: Trinity_cluster_knorm.txt 
File: Trinity_cluster_tnorm.txt 
File: Trinity_combined_cap3.txt 
File: Trinity_knorm.txt 
File: Trinity_knorm_combined_cap3.txt 
File: Trinity_norm_combined.txt 
File: Trinity_norm_combined_cap3.txt 
File: Trinity_rsem.txt 
File: Trinity_rsem_cluster.txt 
File: Trinity_rsem_cluster_knorm.txt 
File: Trinity_rsem_cluster_tnorm.txt 
File: Trinity_rsem_knorm.txt 
File: Trinity_rsem_tnorm.txt 
File: Trinity_tnorm.txt 
File: Trinity_tnorm_combined_cap3.txt 
Sequence Name	GI	Percent Identity	Length	e-value	Query Start	Query End	Subject Start	Subject End	Gaps	Score	Bits
File: Assembly_combined_cap3.txt 
Contig42	gi|14456617|Na-ATPase	97.87	47	1	0	89	135	3993	3947	1e-18	82.4
Contig287	gi|14456617|Na-ATPase	99.45	183	1	0	1	183	314	496	2e-94	 333
Contig357	gi|355398356|NR2-2/2HbN	95.04	2257	102	6	22	2273	2833	582	0.0	3539
Contig357	gi|240129575|NR1	94.62	1022	47	4	1256	2273	1635	618	0.0	1576
Contig357	gi|240129575|NR1	94.37	923	50	2	22	943	2548	1627	0.0	1415
Contig888	gi|14456617|Na-ATPase	95.96	1014	41	0	1	1014	2980	3993	0.0	1646
Contig891	gi|32130540|psbO	99.10	1107	7	3	218	1321	1107	1	0.0	1986
Contig930	gi|14456617|Na-ATPase	96.05	1770	64	6	1	1767	2777	1011	0.0	2876
Contig4429	gi|14456617|Na-ATPase	95.24	63	3	0	41	103	3931	3993	2e-24	 100
Contig5066	gi|355398356|NR2-2/2HbN	93.09	2779	183	8	87	2862	2797	25	0.0	4060
Contig5066	gi|240129575|NR1	92.41	1580	113	6	1285	2862	1635	61	0.0	2246
Contig5066	gi|240129575|NR1	91.88	887	70	2	87	972	2512	1627	0.0	1238
Contig9978	gi|14456617|Na-ATPase	97.89	142	3	0	1	142	766	625	4e-68	 246
Contig9978	gi|14456617|Na-ATPase	99.22	128	1	0	446	573	625	498	1e-63	 231
Contig10224	gi|14456617|Na-ATPase	97.94	97	0	2	794	889	315	220	5e-44	 167
Contig10224	gi|14456617|Na-ATPase	100.00	69	0	0	1	69	379	311	2e-32	 128
Contig11114	gi|14456617|Na-ATPase	98.28	58	1	0	596	653	2197	2140	1e-24	 102
Contig11114	gi|14456617|Na-ATPase	97.22	36	1	0	1	36	2221	2186	2e-12	62.1
Contig14029	gi|14456617|Na-ATPase	97.95	146	3	0	608	753	771	626	3e-70	 254
Contig14312	gi|14456617|Na-ATPase	97.30	37	1	0	3506	3542	1089	1053	3e-12	63.9
Contig15827	gi|603053|psbA	99.84	1245	2	0	1	1245	14	1258	0.0	2289
Contig16153	gi|14456617|Na-ATPase	86.95	452	43	15	1	444	1541	1984	1e-142	 494
Contig16503	gi|355398356|NR2-2/2HbN	99.75	2833	7	0	56	2888	2833	1	0.0	5193
Contig16503	gi|240129575|NR1	99.63	1635	6	0	1290	2924	1635	1	0.0	2987
Contig16503	gi|240129575|NR1	99.89	922	1	0	56	977	2548	1627	0.0	1698
Contig17420	gi|355398356|NR2-2/2HbN	94.17	2247	121	6	99	2340	2797	556	0.0	3415
Contig17420	gi|240129575|NR1	94.56	1048	49	4	1297	2340	1635	592	0.0	1613
Contig17420	gi|240129575|NR1	91.66	887	72	2	99	984	2512	1627	0.0	1227
Contig18291	gi|146739105|prk	100.00	1220	0	0	22	1241	1	1220	0.0	2254
Contig20674	gi|14456617|Na-ATPase	100.00	34	0	0	750	783	89	122	6e-13	63.9
Contig21498	gi|14456617|Na-ATPase	99.27	3994	27	2	606	4598	3993	1	0.0	7214
Contig24867	gi|14456617|Na-ATPase	100.00	33	0	0	1	33	795	763	6e-13	62.1
Contig28330	gi|603053|psbA	100.00	34	0	0	1	34	34	1	7e-13	63.9
Contig28544	gi|355398356|NR2-2/2HbN	96.70	940	31	0	137	1076	2797	1858	0.0	1565
Contig28544	gi|240129575|NR1	96.50	886	31	0	137	1022	2512	1627	0.0	1465
Contig37972	gi|14456617|Na-ATPase	97.30	37	1	0	2727	2763	1089	1053	3e-12	63.9
Contig46575	gi|14456617|Na-ATPase	75.41	1049	235	21	521	1558	1238	202	7e-140	 486
Contig46575	gi|14456617|Na-ATPase	100.00	49	0	0	1	49	1581	1533	6e-21	91.6
Contig47097	gi|14456617|Na-ATPase	94.44	2250	115	10	384	2628	3255	1011	0.0	3454
Contig47097	gi|14456617|Na-ATPase	83.22	149	15	8	1	141	3632	3486	7e-32	 128
Contig49060	gi|355398356|NR2-2/2HbN	94.64	2798	145	3	94	2887	2797	1	0.0	4331
Contig49060	gi|240129575|NR1	95.59	1634	69	1	1293	2923	1634	1	0.0	2615
Contig49060	gi|240129575|NR1	92.78	887	62	2	94	979	2512	1627	0.0	1282
File: H_akashiwo.txt 
comp18098_c0_seq1	gi|14456617|Na-ATPase	99.27	3994	27	2	3012	7004	3993	1	0.0	7214
comp28499_c0_seq1	gi|355398356|NR2-2/2HbN	97.00	2798	82	2	54	2850	1	2797	0.0	4700
comp28499_c0_seq1	gi|240129575|NR1	99.33	1635	11	0	18	1652	1	1635	0.0	2959
comp28499_c0_seq1	gi|240129575|NR1	92.11	887	68	2	1965	2850	1627	2512	0.0	1249
comp29268_c0_seq1	gi|603053|psbA	99.83	1173	2	0	1	1173	86	1258	0.0	2156
comp28584_c0_seq1	gi|146739105|prk	100.00	1220	0	0	5	1224	1	1220	0.0	2254
comp10303_c0_seq1	gi|32130540|psbO	99.10	1107	7	3	35	1138	1	1107	0.0	1986
File: Oases_knorm.txt 
Locus_13_Transcript_1/1_Confidence_1.000_Length_1607	gi|146739105|prk	99.31	1160	5	2	449	1607	1220	63	0.0	2095
Locus_49_Transcript_1/2_Confidence_0.750_Length_255	gi|32130540|psbO	95.72	257	7	4	1	255	769	515	6e-118	 411
Locus_49_Transcript_2/2_Confidence_0.750_Length_256	gi|32130540|psbO	97.66	256	5	1	1	256	769	515	3e-126	 438
Locus_203_Transcript_1/5_Confidence_0.611_Length_781	gi|14456617|Na-ATPase	98.54	756	11	0	26	781	3215	3970	0.0	1336
Locus_203_Transcript_1/5_Confidence_0.611_Length_781	gi|14456617|Na-ATPase	100.00	30	0	0	1	30	3277	3306	1e-10	56.5
Locus_203_Transcript_2/5_Confidence_0.722_Length_1079	gi|14456617|Na-ATPase	98.56	972	14	0	1	972	2980	3951	0.0	1718
Locus_203_Transcript_3/5_Confidence_0.389_Length_368	gi|14456617|Na-ATPase	96.20	368	14	0	1	368	3603	3970	1e-175	 603
Locus_203_Transcript_4/5_Confidence_0.556_Length_1234	gi|14456617|Na-ATPase	95.86	1014	42	0	1	1014	2980	3993	0.0	1640
Locus_203_Transcript_5/5_Confidence_0.722_Length_991	gi|14456617|Na-ATPase	98.59	991	14	0	1	991	2980	3970	0.0	1753
Locus_213_Transcript_1/2_Confidence_0.667_Length_396	gi|32130540|psbO	97.25	182	2	3	1	179	926	1107	4e-86	 305
